,student_ids,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Comment_8,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments
0,117553,83,86,4,4,5,5,7,0,5,0,'M',"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--',1,12,0,84.5,4.5,4.5,1,3,0,2,0,0,0,1,0,0,0,0,0
1,118265,85,87,5,5,5,5,2,0,9,9,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,11,9,86.0,5.0,5.0,1,5,0,0,0,0,0,1,0,0,0,0,0
2,117858,79,83,4,5,4,4,5,12,10,12,'F','Incomplete work--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment , No Comment ,1,15,24,81.0,4.0,4.5,0,2,2,0,0,0,1,0,0,0,0,0,0
3,116622,88,89,5,5,5,5,8,0,0,1,'M',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,8,1,88.5,5.0,5.0,2,2,0,1,0,0,0,1,0,0,0,0,0
4,116270,85,85,4,5,4,4,0,0,5,16,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',1,5,16,85.0,4.0,4.5,0,4,1,2,0,0,0,0,0,0,0,0,0
5,127515,84,88,4,5,4,5,1,0,3,0,'F','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,4,0,86.0,4.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0
6,150306,85,87,4,4,4,4,3,2,5,1,'M','Unprepared for class--Pobre preparacion para la clase.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Late work = points off --', No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,8,3,86.0,4.0,4.0,1,3,0,0,1,0,0,1,0,0,0,0,0
7,117422,80,83,2,2,3,3,1,0,0,0,'F','Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Good work. Satisfactory',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,0,81.5,2.5,2.5,0,3,0,1,0,0,0,1,0,0,0,0,0
8,117541,85,80,4,5,4,5,0,1,0,11,'M','Inattentiveness in class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,0,12,82.5,4.0,5.0,0,4,0,0,0,1,0,1,0,0,0,0,0
9,152906,85,87,3,3,3,4,5,0,4,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,9,0,86.0,3.0,3.5,0,4,0,0,0,0,1,0,0,1,0,0,0
